phrase,intent
Чем знаменит Борис Ельцин ?,wiki
Как долго живут черепахи ?,wiki
Когда родился Лермонтов ?,wiki
сколько будет один плюс один,арифметика
Чему равно два прибавить два ?,арифметика
сколько будет дважды два,арифметика
"Сколько надо прибавить к 5 , чтобы получить 8 ?",арифметика
Складывать-то числа ты умеешь ?,арифметика
"скажи , сколько будет 2 плюс 2 ?",арифметика
Ты складывать числа умеешь ?,арифметика
посчитай пожалуйста двадцать пять умножить на пять,арифметика
"Что получится , если один прибавить к один",арифметика
числа-то ты можешь перемножить ?,арифметика
"что получится , если два умножить на два",арифметика
"знаешь ли ты , чему равно два умножить на два",арифметика
сколько будет пять плюс пять ?,арифметика
сколько будет 2 плюс 2 ?,арифметика
сколько будет триста тридцать три в квадрате,арифметика
Чему равно два умножить на два,арифметика
настроение у меня приподнятое,веселое_настроение
Настроение у меня поднималось,веселое_настроение
я радуюсь,веселое_настроение
Постепенно мое настроение поднялось,веселое_настроение
Настроение у меня как всегда отличное,веселое_настроение
Мне становиться дико весело,веселое_настроение
Настроение у меня с утра хорошее,веселое_настроение
Мне было ужасно весело,веселое_настроение
"я себя отлично чувствую , настроение нормальное",веселое_настроение
у меня восхитительный настрой,веселое_настроение
Настроение у меня подымается,веселое_настроение
Мне было чрезвычайно весело,веселое_настроение
я заметно повеселел,веселое_настроение
Мне было весело вчера,веселое_настроение
Это улучшает мое настроение,веселое_настроение
радостно на душе,веселое_настроение
у меня сегодня прекрасное настроение,веселое_настроение
у меня хорошее настроение,веселое_настроение
я очень рад,веселое_настроение
Похвала улучшила мое настроение,веселое_настроение
Мое настроение значительно улучшилось,веселое_настроение
Мое настроение мгновенно улучшилось,веселое_настроение
"Я порадовался , услышав это",веселое_настроение
"все отлично , и настроение улучшилось",веселое_настроение
отличное настроение сегодня у меня,веселое_настроение
а вот настроение у меня сегодня просто замечательное,веселое_настроение
"настроение у меня сегодня боевое , все замечательно",веселое_настроение
я в приподнятом настроении,веселое_настроение
мне весело,веселое_настроение
Мое настроение немного улучшилось,веселое_настроение
Мое настроение сразу улучшилось,веселое_настроение
Это улучшило мое настроение,веселое_настроение
Мне сразу стало весело,веселое_настроение
настроение у меня превосходное,веселое_настроение
Мне было очень весело,веселое_настроение
Мое настроение слегка улучшилось,веселое_настроение
Мое настроение снова поднялось,веселое_настроение
Я вновь повеселела,веселое_настроение
Мое настроение резко поднялось,веселое_настроение
Постепенно мое настроение поднималось,веселое_настроение
Выключить свет в коридоре,включить_свет
"Включи свет , посмотри на мое тело",включить_свет
"Включи в прихожей свет , пожалуйста",включить_свет
"Включи свет , брат",включить_свет
Тогда включи аварийное освещение,включить_свет
Включить свет во всем отеле,включить_свет
Включи освещение,включить_свет
Надо выключить свет,включить_свет
Я хочу ненадолго включить нормальный свет,включить_свет
Надо включить свет в остальных комнатах,включить_свет
Свет в туалете включи,включить_свет
Включи свет в прихожей и столовой,включить_свет
Я хочу включить свет,включить_свет
"Включи свет , мышонок не может уснуть",включить_свет
"Пожалуйста , включи свет",включить_свет
Только свет надо включить,включить_свет
"Темновато стало , надо бы включить свет",включить_свет
"Включить свет , и все будет хорошо",включить_свет
В номере нужно включить освещение на балконе,включить_свет
Свет надо включить,включить_свет
Включи свет в ванной,включить_свет
Можешь включить свет,включить_свет
И включи свет на крыльце,включить_свет
Надо включить свет,включить_свет
"а в прихожей свет включи , пожалуйста",включить_свет
Включи ты этот чертов свет,включить_свет
Включи свет и садись рядом,включить_свет
"Давай , вруби свет",включить_свет
И сам включи там свет,включить_свет
Включи скорее свет,включить_свет
Нужно включить свет,включить_свет
Хочу врубить свет,включить_свет
Но я хотел бы включить свет,включить_свет
Свет большой включить,включить_свет
Включи-ка свет,включить_свет
"Я хочу , чтобы ты включил свет на крыльце",включить_свет
"Включи свет , пожалуйста",включить_свет
Надо бы свет включить,включить_свет
А свет лучше включи,включить_свет
Включить свет в коридоре,включить_свет
Включи свет в спальне,включить_свет
А вот свет надо включить,включить_свет
Теперь можно включить свет в ванной,включить_свет
Сначала свет включить надо,включить_свет
Надо перед уходом включить свет в гостиной,включить_свет
Надо свет включить,включить_свет
Надо включить свет и проверить маскировку,включить_свет
Только надо включить свет,включить_свет
Свет включить,включить_свет
Тогда включи свет,включить_свет
Прошу вас включить свет,включить_свет
Вруби свет,включить_свет
Что делать ? Не знаю о чем говорить с людьми,вопросы_по_общению
Как отказаться от приглашения посидеть в кафе ?,вопросы_по_общению
"Парень жалуется , что я проявляю мало эмоций",вопросы_по_общению
Что делать при кризисе в отношениях ?,вопросы_по_общению
Что делать с девушкой ? Отказывается ехать на отдых..,вопросы_по_общению
Как вести себя с девушкой ?,вопросы_по_общению
Как познакомиться с парнем ?,вопросы_по_общению
"Посоветуйте автофокусный телевик для кэнон , чтобы в плане резкости картинки как минимум не уступал никоновскому 55-300",вопросы_по_общению
"Я сама прекращаю общение с друзьями , мне с ними стало не интересно , это нормально ?",вопросы_по_общению
"Не могу познакомиться с девушкой из-за того , что считаю свою внешность уродливой ? Как побороть комплекс ?",вопросы_по_общению
"Мне написал бывший , зачем он это сделал , мне ответить ему ?",вопросы_по_общению
Мне 30 а девушки совсем не обращают на меня внимания И что делать хрен знает,вопросы_по_общению
Почему со мной хотят знакомиться только какие то неадекватные мужчины ?,вопросы_по_общению
Вам больше известны случаи когда после расставания обплевывали друг друга или хорошо отзывались ?,вопросы_по_общению
Помиримся ли мы ? и увидимся ли снова ?,вопросы_по_общению
А стоит ли бывшим любимым оставаться друзьями ?,вопросы_по_общению
Как познакомиться с девушкой ?,вопросы_по_общению
как найти себе девушку,вопросы_по_общению
Совместимость молодого человека и девушки только в пределах дружбы ?,вопросы_по_общению
Как влиться в компанию подростков ?,вопросы_по_общению
За какие качества девушка влюбляется в парня ?,вопросы_по_общению
"Как стерпеть боль разлуки с другом , который уехал очень далеко и удалился везде , поменял номер ?",вопросы_по_общению
Где найти друзей ?,вопросы_по_общению
"Девушки , подскажите ! Что правильно надо сказать чтобы девушка отстала от меня ?",вопросы_по_общению
Как стать человеку хорошим другом ?,вопросы_по_общению
"Как сделать так , чтобы ты начал общаться с девочками ?",вопросы_по_общению
Пора вызывать полицию,вызвать_полицию
И позвоните в полицию,вызвать_полицию
Нужно вызвать полицию,вызвать_полицию
Я могу вызвать полицию ?,вызвать_полицию
Пора и в полицию звонить,вызвать_полицию
Вызывайте полицию,вызвать_полицию
А вы скорее звоните в полицию !,вызвать_полицию
Позвони в полицию,вызвать_полицию
надо вызвать полицию,вызвать_полицию
Быстро звони в полицию,вызвать_полицию
И выключи свет на крыльце,выключить_свет
Выключи свет и садись рядом,выключить_свет
"Выключи свет , дружище",выключить_свет
Выключи ты этот чертов свет,выключить_свет
"а в прихожей свет выключи , пожалуйста",выключить_свет
"Компьютер , пожалуйста , выключи свет",выключить_свет
"Я хочу , чтобы ты выключил свет на крыльце",выключить_свет
Выруби свет,выключить_свет
Только надо выключить свет,выключить_свет
"Выключи свет , глазам больно",выключить_свет
"Выключи свет , мышонок не может уснуть",выключить_свет
А свет лучше выключи,выключить_свет
Потуши свет,выключить_свет
"Пожалуйста , выключи свет",выключить_свет
на кухне-то освещение выруби,выключить_свет
Свет выключить,выключить_свет
Хочу вырубить свет,выключить_свет
"Да , и выключи заодно свет",выключить_свет
А вот свет надо выключить,выключить_свет
Надо свет выключить,выключить_свет
Прошу вас выключить свет,выключить_свет
"Включи , пожалуйста , свет",выключить_свет
Выключи-ка свет – мешает,выключить_свет
"Будь человеком , выключи свет",выключить_свет
Надо просто вырубить свет,выключить_свет
Надо перед уходом выключить свет в гостиной,выключить_свет
Надо выключить свет и проверить маскировку,выключить_свет
Свет потуши,выключить_свет
хуйню не пори !,выражение_недоверия
в это трудно поверить,выражение_недоверия
не может быть !,выражение_недоверия
я тебе не верю,выражение_недоверия
не может быть,выражение_недоверия
"не верю , чувак !",выражение_недоверия
я не верю,выражение_недоверия
"Вы шутите , сэр ?",выражение_недоверия
что за бред,выражение_недоверия
В это слабо верится,выражение_недоверия
ну и бред,выражение_недоверия
во загнул,выражение_недоверия
это как ?,выражение_недоверия
не верю,выражение_недоверия
это абсурд,выражение_недоверия
Да неужели ?,выражение_недоверия
вот ты ляпнул-то ?,выражение_недоверия
"Очевидно , это неправда",выражение_недоверия
Слабо в это верится,выражение_недоверия
что за ерунда,выражение_недоверия
ну ты силен пули отливать,выражение_недоверия
как это ?,выражение_недоверия
ммм бредятина какая-то,выражение_недоверия
"Что вы , ребята !",выражение_недоверия
ерунду не говори,выражение_недоверия
Разве нет ?,выражение_недоверия
Такого быть не может,выражение_недоверия
"ты розыгрываешь меня , да ?",выражение_недоверия
правда ?,выражение_недоверия
в это невозможно поверить,выражение_недоверия
ну поверить в это невозможно,выражение_недоверия
ты поди обманываешь меня,выражение_недоверия
"шутишь ты , наверное",выражение_недоверия
не может такого быть,выражение_недоверия
Ну это неправда,выражение_недоверия
ты наверное шутишь,выражение_недоверия
ммм странно,выражение_недоверия
как-то слабо верится,выражение_недоверия
Врешь ведь,выражение_недоверия
чего ?,выражение_недоверия
ну ты ляпнул !,выражение_недоверия
Да ?,выражение_недоверия
ну ты загнул,выражение_недоверия
"хех , вот так ляпнул",выражение_недоверия
А ты не врешь ?,выражение_недоверия
откуда ты такое узнал ?,выражение_недоверия
"По-моему , это не так",выражение_недоверия
"хех , обманываешь ведь меня",выражение_недоверия
"мне кажется , это не правда",выражение_недоверия
ерунда какая-то,выражение_недоверия
"Мне кажется , это неправда",выражение_недоверия
ты шутишь,выражение_недоверия
"Мне кажется , это неверно",выражение_недоверия
это реально бред какой-то,выражение_недоверия
ты шутишь поди,выражение_недоверия
вот так сказанул !,выражение_недоверия
В это трудно поверить,выражение_недоверия
неужели ?,выражение_недоверия
Это вряд ли правда,выражение_недоверия
странно,выражение_недоверия
ну ты сказанул !,выражение_недоверия
"нет , не хочу",выражение_несогласия
нет и нет,выражение_несогласия
ничуть,выражение_несогласия
не одобряю,выражение_несогласия
вот уж нет,выражение_несогласия
"нет , не надо",выражение_несогласия
"мне кажется , нет",выражение_несогласия
"нет , нет и нет !",выражение_несогласия
"по-моему , нет",выражение_несогласия
"Я покачала головой , отвечая отрицательно",выражение_несогласия
вот ничуточки,выражение_несогласия
совсем нет,выражение_несогласия
не сейчас,выражение_несогласия
Ни за что на свете !,выражение_несогласия
категорически не согласен,выражение_несогласия
не согласен,выражение_несогласия
ответ неверный,выражение_несогласия
неа,выражение_несогласия
нет - нет,выражение_несогласия
Почему бы и нет ?,выражение_согласия
Вот согласна !,выражение_согласия
"Кеша , ты прав без всяких сомнений !",выражение_согласия
"да , стопудово",выражение_согласия
Нет никаких сомнений в твоей правоте !,выражение_согласия
"ага , совершенно верно",выражение_согласия
верно,выражение_согласия
ну это стопудово,выражение_согласия
это стопудово,выражение_согласия
"ага , правильно",выражение_согласия
стопудово,выражение_согласия
совершенно правильная мысль !,выражение_согласия
Согласна ),выражение_согласия
"Да , вроде того",выражение_согласия
совершенно верно,выражение_согласия
"да , согласен",выражение_согласия
Да !,выражение_согласия
"угу , верно , Вика",выражение_согласия
"Вика , ты конечно права",выражение_согласия
"ну да , ты прав",выражение_согласия
"Вика , ты совершенно права",выражение_согласия
Понимаю Вас,выражение_согласия
"Да , конечно !",выражение_согласия
Конечно да,выражение_согласия
разумеется,выражение_согласия
категорически согласен,выражение_согласия
Согласен с вами !,выражение_согласия
"угу , ты права",выражение_согласия
да 100%,выражение_согласия
"Я сказал: "" да """,выражение_согласия
"ага , верно",выражение_согласия
совершенно точно,выражение_согласия
поддержу,выражение_согласия
"да , правильно",выражение_согласия
вот это верно,выражение_согласия
"Алиса , ты все верно говоришь",выражение_согласия
да,выражение_согласия
"а вот это верно , да",выражение_согласия
само собой,выражение_согласия
абсолютно верное замечание,выражение_согласия
правильно,выражение_согласия
"да , никаких сомнений",выражение_согласия
одобряю,выражение_согласия
вот именно,выражение_согласия
ага,выражение_согласия
"Вика , с тобой нельзя не согласиться",выражение_согласия
в Мурманске я живу,где_живет_собес
в Самаре я проживаю,где_живет_собес
я в Саратове живу,где_живет_собес
"Город , в котором я живу , называется Омск",где_живет_собес
В Уфе я живу,где_живет_собес
я в Рязани живу,где_живет_собес
я живу на Камчатке,где_живет_собес
Я живу в Череповце,где_живет_собес
в Омске я живу,где_живет_собес
я живу в Минске,где_живет_собес
Я живу в Москве,где_живет_собес
в Сочи я живу,где_живет_собес
Я загрустила о Косте,грустное_настроение
Я тоскую по Эрику,грустное_настроение
Поэтому мое настроение слетело,грустное_настроение
грустно как-то мне,грустное_настроение
"Вам весело , а мне грустно",грустное_настроение
я какой-то грустный сегодня,грустное_настроение
тоскливо сегодня,грустное_настроение
Я тоскую по Тбилиси,грустное_настроение
сегодня мне взгрустнулось,грустное_настроение
У меня испортилось настроение,грустное_настроение
А то я уже загрустила,грустное_настроение
Прочитал Вас и загрустил..,грустное_настроение
Настроение у меня ухудшилось,грустное_настроение
"погода сегодня какая-то грустная , вот я и загрустил тоже",грустное_настроение
а мне сегодня взгрустнулось,грустное_настроение
настроение у меня сегодня какое-то грустное,грустное_настроение
Настроение у меня упало,грустное_настроение
Я сразу же загрустила,грустное_настроение
"Я грущу , да",грустное_настроение
Мое настроение резко ухудшилось,грустное_настроение
"Уйди , я тоскую",грустное_настроение
Мое настроение заметно испортилось,грустное_настроение
мне грустно,грустное_настроение
Тоскую о себе самом,грустное_настроение
тоска сегодня меня одолела,грустное_настроение
грустно мне,грустное_настроение
тоска зеленая,грустное_настроение
мне как-то тоскливо,грустное_настроение
у меня отвратительное настроение,грустное_настроение
настроние у меня сейчас не очень,грустное_настроение
настроение сегодня у меня печальное какое-то,грустное_настроение
паршивенькое у меня сегодня настроение,грустное_настроение
Мое настроение резко испортилось,грустное_настроение
Я тоскую по нему,грустное_настроение
По-прежнему тоскую о цимбалах,грустное_настроение
а я вот грущу почему-то,грустное_настроение
И чего я загрустил ?,грустное_настроение
Я от зависти тоскую !,грустное_настроение
Мне совсем невесело,грустное_настроение
Я тоскую по Белинде,грустное_настроение
а вот грустно мне,грустное_настроение
И я снова загрустила,грустное_настроение
я грустный,грустное_настроение
Теперь грущу и тоскую,грустное_настроение
Но мне было невесело,грустное_настроение
Что известно о кошках ?,давай_поговорим_о
Поговорим об инверсии полюсов,давай_поговорим_о
Зарплату обсудим по результатам,давай_поговорим_о
Давай поговорим о музыке,давай_поговорим_о
Поговорим о странностях любви..,давай_поговорим_о
Хочешь обсудить компьютерные игры,давай_поговорим_о
Поговорим лучше о вас,давай_поговорим_о
Дай поговорить о прекрасном,давай_поговорим_о
Мы можем поговорить о музыке ?,давай_поговорим_о
О комнате поговорим позже,давай_поговорим_о
Давай обсудим другой вариант..,давай_поговорим_о
Лучше поговорим о вас,давай_поговорим_о
Предлагаю обсудить домашних животных,давай_поговорим_о
Давай поговорим о компьютерных играх,давай_поговорим_о
Давайте поговорим о последствиях,давай_поговорим_о
Поговорим о цвете Марса,давай_поговорим_о
Приглашаем обсудить условия сотрудничества,давай_поговорим_о
Мы можем обсудить летний отдых,давай_поговорим_о
Стоимость щенка готовы обсудить,давай_поговорим_о
Однако поговорим о вас,давай_поговорим_о
Предлагаю поболтать о компьютерных играх,давай_поговорим_о
Доплату обсудим по телефону !,давай_поговорим_о
Давай обсудим этот вопрос,давай_поговорим_о
Тогда давай обсудим выборы,давай_поговорим_о
Поговорим об этой репортерше,давай_поговорим_о
Давай обсудим некоторые детали,давай_поговорим_о
Давай обсудим эту проблему,давай_поговорим_о
О перспективах поговорим потом,давай_поговорим_о
Поговорим об Этель Розенберг ?,давай_поговорим_о
Давай обсудим наше положение,давай_поговорим_о
Давай обсудим финансовые условия,давай_поговорим_о
Необходимо поговорить об аренде,давай_поговорим_о
Давайте поговорим про гидравлику,давай_поговорим_о
Хотелось бы обменять мнениями по поводу погоды,давай_поговорим_о
Не мог бы ты компьютерные игры обсудить со мной ?,давай_поговорим_о
Давай обсудим твои проблемы,давай_поговорим_о
А давай о собаках поболтаем,давай_поговорим_о
Место встречи можно обсудить,давай_поговорим_о
Ну теперь будем знакомиться,давай_познакомимся
Нам сначала познакомиться следует,давай_познакомимся
А не пора ли нам познакомиться,давай_познакомимся
А вот теперь мы начнём знакомство,давай_познакомимся
как насчет знакомства ?,давай_познакомимся
"Мне кажется , нам для начала надо познакомиться",давай_познакомимся
Давай же познакомимся как следует,давай_познакомимся
Мне кажется пора познакомиться,давай_познакомимся
"Нам бы сначала познакомиться , верно говорю ?",давай_познакомимся
А вот теперь мы будем знакомиться,давай_познакомимся
Мы замечательно пообщались,до_свидания
Приятно было с вами поговорить,до_свидания
До встречи,до_свидания
Мы отлично пообщались,до_свидания
всего хорошего тебе,до_свидания
Досвиданья,до_свидания
Рад был поговорить с вами,до_свидания
До скорой встречи,до_свидания
Пока,до_свидания
Мы замечательно поболтали,до_свидания
всего доброго ),до_свидания
Мы замещательно поговорили,до_свидания
Спокойной ночи,до_свидания
Мы отлично поговорили,до_свидания
Ладно до завтра,до_свидания
"Ладно , до встречи",до_свидания
Было приятно с вами поболтать,до_свидания
"Спасибо , всего хорошего !",до_свидания
Рад был пообщаться с вами,до_свидания
"Спасибо , до свидания !",до_свидания
"Всего доброго , до свидания !",до_свидания
Было приятно поболтать с вами,до_свидания
Всего хорошего,до_свидания
Мне пора ) пока ),до_свидания
Чао-какао !,до_свидания
Было приятно с вами поговорить,до_свидания
До свидания,до_свидания
Рад был с вами поболтать,до_свидания
Был рад поговорить с вами,до_свидания
Рада была поболтать !,до_свидания
"Ладно , доброй ночи: )",до_свидания
"Пока , свяжемся позже !",до_свидания
"Ну все , давай прощаться",до_свидания
Приятно было пообщаться ) ) ),до_свидания
"Ну ладно , приятно было поговорить , пока )",до_свидания
Приятно было с вами пообщаться,до_свидания
Было приятно поговорить с вами,до_свидания
до скорой встречи !,до_свидания
Было приятно с вами пообщаться,до_свидания
"Спасибо за замечательное общение , до свидания",до_свидания
А пока позвольте с вами попрощаться,до_свидания
Рад был поболтать с вами,до_свидания
Досвидания,до_свидания
Приятно было пообщаться с вами,до_свидания
Был рад поболтать с вами,до_свидания
Счастливо,до_свидания
Приятно было поговорить с вами,до_свидания
"Все , покедова",до_свидания
Успей заказать свою солянку !,заказ_еды
Закажи три порции пиццы с анчоусами,заказ_еды
Успей заказать конфеты по низким ценам,заказ_еды
а давай закажем пончиков и кофе,заказ_еды
давай купим что-то покушать,заказ_еды
Давай закажем 2 пиццы с анчоусами,заказ_еды
"Будь добр , закажи супчик с грибочками",заказ_еды
Мне заказать еду сюда ?,заказ_еды
хотелось бы заказать что-нибудь покушать,заказ_еды
Давай купим четыре лепешки с острым соусом и сыром,заказ_еды
Можно заказать полноценный обед,заказ_еды
закажи на вечер плотный ужин,заказ_еды
"Закажи , пожалуйста , две пиццы с острым сыром",заказ_еды
хочу вечером овощное рагу заказать,заказ_еды
Плюс можно заказать поесть,заказ_еды
"надо что-то пожевать , давай оформим заказ",заказ_еды
Можете заказать еду сюда,заказ_еды
Как бесплатно заказать еду на дом или по большим скидкам ?,заказ_еды
А почему бы нам не заказать три борща ?,заказ_еды
Успей заказать по низким ценам,заказ_еды
Еду проще зак зать по инету,заказ_еды
как мне заказать кумыс в Москве ?,заказ_еды
Закажи сейчас пиццу с колбаской и укропом,заказ_еды
Закажи мне суп с колбасой,заказ_еды
Закажи бутерброды с колбасой,заказ_еды
меня зовут Василий Пупкин,имя_собеседника
Зовут меня Света,имя_собеседника
"меня зовут Максим , а вопрос вот какой",имя_собеседника
Кстати меня Гена зовут,имя_собеседника
